Net Asset Value,NAV date
17.29,06-Jun-16
17.38,07-Jun-16
17.38,08-Jun-16
17.29,09-Jun-16
17.21,10-Jun-16
17.14,13-Jun-16
17.12,14-Jun-16
17.26,15-Jun-16
17.14,16-Jun-16
17.17,17-Jun-16
17.29,20-Jun-16
17.27,21-Jun-16
17.21,22-Jun-16
17.36,23-Jun-16
17.02,24-Jun-16
17.1,27-Jun-16
17.16,28-Jun-16
17.33,29-Jun-16
17.46,30-Jun-16
17.62,01-Jul-16
17.7,04-Jul-16
17.63,05-Jul-16
17.59,07-Jul-16
17.6,08-Jul-16
17.85,11-Jul-16
17.94,12-Jul-16
17.88,13-Jul-16
17.95,14-Jul-16
17.92,15-Jul-16
17.88,18-Jul-16
17.95,19-Jul-16
18.08,20-Jul-16
18.04,21-Jul-16
18.11,22-Jul-16
18.32,25-Jul-16
18.23,26-Jul-16
18.34,27-Jul-16
18.47,28-Jul-16
18.52,29-Jul-16
18.52,01-Aug-16
18.46,02-Aug-16
18.32,03-Aug-16
18.3,04-Aug-16
18.6,05-Aug-16
18.73,08-Aug-16
18.65,09-Aug-16
18.42,10-Aug-16
18.39,11-Aug-16
18.52,12-Aug-16
18.51,16-Aug-16
18.54,17-Aug-16
18.67,18-Aug-16
18.71,19-Aug-16
18.61,22-Aug-16
18.58,23-Aug-16
18.68,24-Aug-16
18.59,25-Aug-16
18.6,26-Aug-16
18.66,29-Aug-16
18.92,30-Aug-16
19.08,31-Aug-16
19.06,01-Sep-16
19.12,02-Sep-16
19.44,06-Sep-16
19.4,07-Sep-16
19.45,08-Sep-16
19.25,09-Sep-16
18.9,12-Sep-16
19,14-Sep-16
19.01,15-Sep-16
19.03,16-Sep-16
19.08,19-Sep-16
19.07,20-Sep-16
19.06,21-Sep-16
19.33,22-Sep-16
19.26,23-Sep-16
19.09,26-Sep-16
19.04,27-Sep-16
19.16,28-Sep-16
18.71,29-Sep-16
18.88,30-Sep-16
19.26,03-Oct-16
19.31,04-Oct-16
19.35,05-Oct-16
