Net Asset Value,NAV date
464.53,08-Jul-14
460.98,09-Jul-14
460.37,10-Jul-14
452.22,11-Jul-14
452.64,14-Jul-14
459.5,15-Jul-14
465.78,16-Jul-14
469.25,17-Jul-14
470.71,18-Jul-14
470.13,21-Jul-14
471.02,22-Jul-14
471.14,23-Jul-14
472.12,24-Jul-14
467.89,25-Jul-14
466.74,28-Jul-14
467.93,30-Jul-14
466.75,31-Jul-14
463.44,01-Aug-14
468.03,04-Aug-14
469.87,05-Aug-14
467.06,06-Aug-14
466.05,07-Aug-14
460.06,08-Aug-14
461.99,11-Aug-14
464.79,12-Aug-14
461.64,13-Aug-14
465.3,14-Aug-14
472.39,18-Aug-14
475.72,19-Aug-14
475.25,20-Aug-14
475.93,21-Aug-14
478.54,22-Aug-14
476.87,25-Aug-14
477.27,26-Aug-14
479.76,27-Aug-14
480.78,28-Aug-14
487.58,01-Sep-14
489.81,02-Sep-14
491.8,03-Sep-14
490.26,04-Sep-14
491.78,05-Sep-14
495.71,08-Sep-14
494.99,09-Sep-14
493.11,10-Sep-14
495.89,11-Sep-14
498.2,12-Sep-14
499.16,15-Sep-14
490.85,16-Sep-14
493.21,17-Sep-14
499.14,18-Sep-14
499.22,19-Sep-14
499.93,22-Sep-14
494.26,23-Sep-14
491.79,24-Sep-14
486.31,25-Sep-14
490.16,26-Sep-14
492.06,29-Sep-14
493.61,30-Sep-14
493.8,01-Oct-14
489.76,07-Oct-14
488.93,08-Oct-14
494.72,09-Oct-14
489.75,10-Oct-14
493.02,13-Oct-14
493.64,14-Oct-14
486.61,16-Oct-14
488.16,17-Oct-14
493.47,20-Oct-14
496.92,21-Oct-14
501.18,22-Oct-14
500.72,27-Oct-14
502.2,28-Oct-14
504.34,29-Oct-14
507.36,30-Oct-14
513.8,31-Oct-14
514.66,03-Nov-14
516.53,05-Nov-14
517.82,07-Nov-14
517.92,10-Nov-14
519.93,11-Nov-14
523.53,12-Nov-14
522.48,13-Nov-14
523.77,14-Nov-14
528.1,17-Nov-14
529.89,18-Nov-14
529.37,19-Nov-14
529.79,20-Nov-14
531.61,21-Nov-14
533.45,24-Nov-14
528.93,25-Nov-14
530.36,26-Nov-14
531.85,27-Nov-14
537.99,28-Nov-14
