Net Asset Value,NAV date
445.5711,24-Oct-17
452.489,25-Oct-17
453.8143,26-Oct-17
451.9013,27-Oct-17
455.2961,30-Oct-17
455.129,31-Oct-17
459.7947,01-Nov-17
460.0298,02-Nov-17
461.4787,03-Nov-17
461.7486,06-Nov-17
456.3941,07-Nov-17
454.3254,08-Nov-17
454.7111,09-Nov-17
455.7687,10-Nov-17
452.398,13-Nov-17
450.7018,14-Nov-17
447.921,15-Nov-17
451.7852,16-Nov-17
453.091,17-Nov-17
453.0739,20-Nov-17
455.4533,21-Nov-17
455.3553,22-Nov-17
455.0602,23-Nov-17
456.8928,24-Nov-17
457.955,27-Nov-17
456.6194,28-Nov-17
455.8332,29-Nov-17
450.9744,30-Nov-17
446.6772,01-Dec-17
446.801,04-Dec-17
446.3783,05-Dec-17
442.2704,06-Dec-17
448.538,07-Dec-17
452.5598,08-Dec-17
454.0431,11-Dec-17
450.429,12-Dec-17
448.3443,13-Dec-17
450.8708,14-Dec-17
454.7578,15-Dec-17
457.2407,18-Dec-17
460.6123,19-Dec-17
460.3213,20-Dec-17
460.9518,21-Dec-17
462.3432,22-Dec-17
464.1575,26-Dec-17
462.6767,27-Dec-17
461.3909,28-Dec-17
463.6085,29-Dec-17
460.7052,01-Jan-18
461.3551,02-Jan-18
461.9021,03-Jan-18
464.8046,04-Jan-18
468.4265,05-Jan-18
470.591,08-Jan-18
469.857,09-Jan-18
468.3489,10-Jan-18
470.1529,11-Jan-18
470.2508,12-Jan-18
470.6408,15-Jan-18
469.6721,16-Jan-18
473.7831,17-Jan-18
473.5307,18-Jan-18
476.357,19-Jan-18
478.53,22-Jan-18
482.7571,23-Jan-18
481.4846,24-Jan-18
480.1495,25-Jan-18
479.6811,29-Jan-18
477.9596,30-Jan-18
476.7981,31-Jan-18
477.2905,01-Feb-18
465.6743,02-Feb-18
463.1356,05-Feb-18
455.9469,06-Feb-18
454.7989,07-Feb-18
458.9799,08-Feb-18
454.3062,09-Feb-18
457.7254,12-Feb-18
454.7569,14-Feb-18
455.7155,15-Feb-18
452.2517,16-Feb-18
448.4656,19-Feb-18
447.7456,20-Feb-18
447.9505,21-Feb-18
446.7505,22-Feb-18
451.6039,23-Feb-18
454.9049,26-Feb-18
454.5647,27-Feb-18
451.7138,28-Feb-18
450.2589,01-Mar-18
446.0807,05-Mar-18
441.5967,06-Mar-18
437.6776,07-Mar-18
440.4609,08-Mar-18
438.8596,09-Mar-18
446.142,12-Mar-18
447.8444,13-Mar-18
447.9042,14-Mar-18
446.1302,15-Mar-18
439.8234,16-Mar-18
434.3246,19-Mar-18
435.6381,20-Mar-18
436.9664,21-Mar-18
434.0244,22-Mar-18
429.3457,23-Mar-18
435.5297,26-Mar-18
436.8903,27-Mar-18
433.9091,28-Mar-18
437.6462,02-Apr-18
439.9683,03-Apr-18
434.6186,04-Apr-18
441.9484,05-Apr-18
442.0729,06-Apr-18
443.1481,09-Apr-18
444.0397,10-Apr-18
443.3752,11-Apr-18
444.6669,12-Apr-18
444.1216,13-Apr-18
445.1071,16-Apr-18
445.9595,17-Apr-18
444.7807,18-Apr-18
447.4018,19-Apr-18
447.4764,20-Apr-18
449.2222,23-Apr-18
449.2059,24-Apr-18
448.5438,25-Apr-18
449.0637,26-Apr-18
453.0749,27-Apr-18
456.7996,30-Apr-18
453.0668,02-May-18
450.2221,03-May-18
447.7859,04-May-18
450.9785,07-May-18
450.753,08-May-18
451.388,09-May-18
449.9565,10-May-18
450.03,11-May-18
449.9775,14-May-18
448.8839,15-May-18
446.8103,16-May-18
444.7649,17-May-18
440.3294,18-May-18
436.2292,21-May-18
438.9323,22-May-18
435.9624,23-May-18
440.2015,24-May-18
445.2085,25-May-18
449.0176,28-May-18
448.8255,29-May-18
448.1278,30-May-18
452.4388,31-May-18
450.469,01-Jun-18
448.0108,04-Jun-18
443.842,05-Jun-18
448.7726,06-Jun-18
452.3236,07-Jun-18
454.0686,08-Jun-18
455.2673,11-Jun-18
456.8953,12-Jun-18
457.9558,13-Jun-18
457.5539,14-Jun-18
456.2519,15-Jun-18
456.3383,18-Jun-18
452.778,19-Jun-18
454.0335,20-Jun-18
452.119,21-Jun-18
455.5778,22-Jun-18
451.6569,25-Jun-18
