Net Asset Value,NAV date
25.4,02-Feb-17
25.45,03-Feb-17
25.67,06-Feb-17
25.58,07-Feb-17
25.63,08-Feb-17
25.59,09-Feb-17
25.63,10-Feb-17
25.67,13-Feb-17
25.54,14-Feb-17
25.25,15-Feb-17
25.57,16-Feb-17
25.78,17-Feb-17
25.96,20-Feb-17
26.01,21-Feb-17
25.87,22-Feb-17
25.91,23-Feb-17
25.75,27-Feb-17
25.73,28-Feb-17
25.89,01-Mar-17
25.77,02-Mar-17
25.81,03-Mar-17
25.91,06-Mar-17
25.85,07-Mar-17
25.75,08-Mar-17
25.75,09-Mar-17
25.77,10-Mar-17
26.38,14-Mar-17
26.23,15-Mar-17
26.44,16-Mar-17
26.39,17-Mar-17
26.22,20-Mar-17
26.18,21-Mar-17
26.03,22-Mar-17
26.2,23-Mar-17
26.25,24-Mar-17
26.03,27-Mar-17
26.19,28-Mar-17
26.27,29-Mar-17
26.38,30-Mar-17
26.37,31-Mar-17
26.49,03-Apr-17
26.52,05-Apr-17
26.51,06-Apr-17
26.35,07-Apr-17
26.3,10-Apr-17
26.45,11-Apr-17
26.39,12-Apr-17
26.29,13-Apr-17
26.19,17-Apr-17
26.15,18-Apr-17
26.21,19-Apr-17
26.17,20-Apr-17
26.02,21-Apr-17
26.18,24-Apr-17
26.42,25-Apr-17
26.54,26-Apr-17
26.66,27-Apr-17
26.62,28-Apr-17
26.53,02-May-17
26.54,03-May-17
26.64,04-May-17
26.49,05-May-17
26.59,08-May-17
26.76,09-May-17
26.89,10-May-17
26.88,11-May-17
26.95,12-May-17
27.07,15-May-17
27.14,16-May-17
27.25,17-May-17
27.11,18-May-17
27.03,19-May-17
26.97,22-May-17
26.85,23-May-17
26.64,24-May-17
27.06,25-May-17
27.09,26-May-17
26.86,29-May-17
26.93,30-May-17
27.04,31-May-17
27.02,01-Jun-17
27.09,02-Jun-17
27.17,05-Jun-17
27.13,06-Jun-17
27.22,07-Jun-17
27.22,08-Jun-17
27.27,09-Jun-17
27.13,12-Jun-17
27.08,13-Jun-17
27.08,14-Jun-17
26.96,15-Jun-17
26.81,16-Jun-17
26.95,19-Jun-17
27.06,20-Jun-17
26.98,21-Jun-17
26.87,22-Jun-17
26.75,23-Jun-17
26.57,27-Jun-17
26.59,28-Jun-17
26.6,29-Jun-17
26.64,30-Jun-17
26.73,03-Jul-17
26.67,04-Jul-17
26.75,05-Jul-17
26.72,06-Jul-17
26.74,07-Jul-17
27.07,10-Jul-17
27.2,11-Jul-17
27.25,12-Jul-17
27.33,13-Jul-17
27.31,14-Jul-17
27.5,17-Jul-17
27.53,18-Jul-17
27.76,19-Jul-17
27.7,20-Jul-17
27.81,21-Jul-17
27.9,24-Jul-17
27.84,25-Jul-17
28.05,26-Jul-17
27.89,27-Jul-17
27.69,28-Jul-17
27.85,31-Jul-17
28.03,01-Aug-17
27.95,02-Aug-17
27.77,03-Aug-17
28.06,04-Aug-17
28.04,07-Aug-17
27.89,08-Aug-17
27.65,09-Aug-17
27.32,10-Aug-17
26.89,11-Aug-17
27.28,14-Aug-17
27.55,16-Aug-17
27.58,17-Aug-17
27.21,18-Aug-17
26.85,21-Aug-17
26.91,22-Aug-17
27.08,23-Aug-17
27.29,24-Aug-17
27.47,28-Aug-17
27.17,29-Aug-17
27.34,30-Aug-17
27.4,31-Aug-17
27.46,01-Sep-17
27.29,04-Sep-17
27.26,05-Sep-17
27.09,06-Sep-17
