Net Asset Value,NAV date
125.1614,20-Feb-19
125.4926,21-Feb-19
125.6677,22-Feb-19
126.1759,25-Feb-19
125.9523,26-Feb-19
125.8379,27-Feb-19
126.0351,28-Feb-19
126.6532,01-Mar-19
128.1469,05-Mar-19
128.8971,06-Mar-19
128.9721,07-Mar-19
129.2382,08-Mar-19
130.6979,11-Mar-19
131.3918,12-Mar-19
131.6491,13-Mar-19
131.7434,14-Mar-19
132.1284,15-Mar-19
132.3287,18-Mar-19
132.835,19-Mar-19
132.8131,20-Mar-19
132.2086,22-Mar-19
131.4393,25-Mar-19
132.384,26-Mar-19
132.4191,27-Mar-19
133.6836,28-Mar-19
134.334,29-Mar-19
134.8209,01-Apr-19
135.2859,02-Apr-19
134.3627,03-Apr-19
134.0614,04-Apr-19
134.4006,05-Apr-19
133.6217,08-Apr-19
133.6889,09-Apr-19
133.4281,10-Apr-19
133.6666,11-Apr-19
134.0223,12-Apr-19
134.6482,15-Apr-19
135.2798,16-Apr-19
134.8689,18-Apr-19
133.5716,22-Apr-19
133.2556,23-Apr-19
134.1368,24-Apr-19
133.8738,25-Apr-19
134.3247,26-Apr-19
134.4602,30-Apr-19
134.5759,02-May-19
134.8311,03-May-19
134.181,06-May-19
133.4392,07-May-19
132.4012,08-May-19
131.6911,09-May-19
131.9428,10-May-19
130.8888,13-May-19
131.404,14-May-19
131.6114,15-May-19
131.8065,16-May-19
133.049,17-May-19
136.2434,20-May-19
135.3779,21-May-19
135.801,22-May-19
135.6926,23-May-19
137.8104,24-May-19
138.3436,27-May-19
138.3172,28-May-19
137.7053,29-May-19
138.4391,30-May-19
138.5403,31-May-19
139.7022,03-Jun-19
139.1588,04-Jun-19
137.8623,06-Jun-19
138.1196,07-Jun-19
138.2469,10-Jun-19
138.5291,11-Jun-19
137.8929,12-Jun-19
137.9987,13-Jun-19
137.2018,14-Jun-19
136.1282,17-Jun-19
136.5518,18-Jun-19
136.252,19-Jun-19
137.4419,20-Jun-19
136.7533,21-Jun-19
136.5767,24-Jun-19
137.5622,25-Jun-19
137.8967,26-Jun-19
137.8809,27-Jun-19
137.9018,28-Jun-19
138.2709,01-Jul-19
138.6605,02-Jul-19
138.6793,03-Jul-19
139.1706,04-Jul-19
138.4324,05-Jul-19
136.3846,08-Jul-19
136.679,09-Jul-19
135.8232,10-Jul-19
136.6711,11-Jul-19
136.6314,12-Jul-19
137.0467,15-Jul-19
137.7446,16-Jul-19
138.0719,17-Jul-19
137.3862,18-Jul-19
136.0424,19-Jul-19
135.4049,22-Jul-19
135.4342,23-Jul-19
134.7398,24-Jul-19
134.7275,25-Jul-19
135.2028,26-Jul-19
134.9587,29-Jul-19
134.278,30-Jul-19
134.6806,31-Jul-19
133.2608,01-Aug-19
133.4492,02-Aug-19
132.2376,05-Aug-19
133.2385,06-Aug-19
132.8904,07-Aug-19
134.0087,08-Aug-19
134.5826,09-Aug-19
132.3178,13-Aug-19
133.2147,14-Aug-19
133.6423,16-Aug-19
133.539,19-Aug-19
133.2016,20-Aug-19
132.73,21-Aug-19
131.556,22-Aug-19
131.9711,23-Aug-19
133.8896,26-Aug-19
134.1327,27-Aug-19
133.9108,28-Aug-19
132.9591,29-Aug-19
133.3355,30-Aug-19
132.2354,03-Sep-19
132.9385,04-Sep-19
133.0959,05-Sep-19
133.8331,06-Sep-19
134.4214,09-Sep-19
134.4118,11-Sep-19
134.3579,12-Sep-19
135.0122,13-Sep-19
134.4833,16-Sep-19
132.9765,17-Sep-19
133.448,18-Sep-19
132.5956,19-Sep-19
137.0339,20-Sep-19
140.0645,23-Sep-19
139.7953,24-Sep-19
138.6142,25-Sep-19
139.8446,26-Sep-19
139.8839,27-Sep-19
139.7992,30-Sep-19
138.9072,01-Oct-19
138.4091,03-Oct-19
137.0948,04-Oct-19
136.899,07-Oct-19
138.305,09-Oct-19
137.7151,10-Oct-19
138.1307,11-Oct-19
138.5908,14-Oct-19
138.9615,15-Oct-19
139.2896,16-Oct-19
140.5808,17-Oct-19
141.3685,18-Oct-19
140.8393,22-Oct-19
140.8056,23-Oct-19
140.613,24-Oct-19
140.5285,25-Oct-19
141.4507,29-Oct-19
142.1006,30-Oct-19
142.5783,31-Oct-19
142.5269,01-Nov-19
142.6787,04-Nov-19
142.4645,05-Nov-19
142.9008,06-Nov-19
143.141,07-Nov-19
142.6874,08-Nov-19
142.8451,11-Nov-19
142.0425,13-Nov-19
142.402,14-Nov-19
143.2699,15-Nov-19
143.7284,18-Nov-19
144.3588,19-Nov-19
144.6441,20-Nov-19
144.0314,21-Nov-19
143.3651,22-Nov-19
145.2239,25-Nov-19
144.7311,26-Nov-19
145.1758,27-Nov-19
145.3849,28-Nov-19
145.0503,29-Nov-19
144.7423,02-Dec-19
144.52,03-Dec-19
144.9189,04-Dec-19
143.8659,05-Dec-19
143.1233,06-Dec-19
143.3046,09-Dec-19
142.5809,10-Dec-19
142.6938,11-Dec-19
143.4521,12-Dec-19
144.2134,13-Dec-19
143.8647,16-Dec-19
144.7291,17-Dec-19
144.7001,18-Dec-19
144.9396,19-Dec-19
145.4243,20-Dec-19
145.6065,23-Dec-19
145.348,24-Dec-19
144.8072,26-Dec-19
145.8974,27-Dec-19
146.0084,30-Dec-19
145.6341,31-Dec-19
145.8266,01-Jan-20
146.5346,02-Jan-20
146.2759,03-Jan-20
144.2269,06-Jan-20
144.6738,07-Jan-20
144.7536,08-Jan-20
146.2509,09-Jan-20
146.6916,10-Jan-20
147.3427,13-Jan-20
147.4294,14-Jan-20
147.3079,15-Jan-20
147.8954,16-Jan-20
148.4198,17-Jan-20
147.5329,20-Jan-20
147.042,21-Jan-20
146.7811,22-Jan-20
147.8988,23-Jan-20
148.7421,24-Jan-20
147.9191,27-Jan-20
147.6461,28-Jan-20
148.4681,29-Jan-20
147.598,30-Jan-20
147.4461,31-Jan-20
146.2941,03-Feb-20
148.5646,04-Feb-20
149.3944,05-Feb-20
150.4163,06-Feb-20
150.5247,07-Feb-20
150.2957,10-Feb-20
150.5861,11-Feb-20
150.6495,12-Feb-20
150.5578,13-Feb-20
150.2877,14-Feb-20
149.7832,17-Feb-20
149.5622,18-Feb-20
150.64,19-Feb-20
150.5545,20-Feb-20
148.9152,24-Feb-20
148.5135,25-Feb-20
147.9346,26-Feb-20
147.4664,27-Feb-20
144.268,28-Feb-20
143.34,02-Mar-20
144.7785,03-Mar-20
143.8306,04-Mar-20
144.4632,05-Mar-20
142.708,06-Mar-20
138.794,09-Mar-20
138.1919,11-Mar-20
129.8637,12-Mar-20
133.1718,13-Mar-20
127.7304,16-Mar-20
125.3212,17-Mar-20
120.3253,18-Mar-20
117.8471,19-Mar-20
120.9126,20-Mar-20
109.1702,23-Mar-20
110.5058,24-Mar-20
114.7858,25-Mar-20
117.9861,26-Mar-20
118.5418,27-Mar-20
115.9504,30-Mar-20
118.6915,31-Mar-20
115.7847,01-Apr-20
115.7847,01-Apr-20
114.0196,03-Apr-20
114.0196,03-Apr-20
119.5383,07-Apr-20
119.5383,07-Apr-20
119.4764,08-Apr-20
119.4764,08-Apr-20
122.9341,09-Apr-20
122.9341,09-Apr-20
122.342,13-Apr-20
122.342,13-Apr-20
122.0977,15-Apr-20
122.0977,15-Apr-20
122.9379,16-Apr-20
122.9379,16-Apr-20
125.647,17-Apr-20
125.647,17-Apr-20
125.6485,20-Apr-20
125.6485,20-Apr-20
123.1804,21-Apr-20
123.1804,21-Apr-20
124.1152,22-Apr-20
124.1152,22-Apr-20
125.1366,23-Apr-20
125.1366,23-Apr-20
123.0728,24-Apr-20
123.0728,24-Apr-20
124.215,27-Apr-20
124.215,27-Apr-20
124.6959,28-Apr-20
124.6959,28-Apr-20
126.0896,29-Apr-20
126.0896,29-Apr-20
127.8605,30-Apr-20
127.8605,30-Apr-20
123.4263,04-May-20
123.4263,04-May-20
122.4051,05-May-20
122.4051,05-May-20
123.1535,06-May-20
123.1535,06-May-20
122.3336,07-May-20
122.3336,07-May-20
122.4208,08-May-20
122.4208,08-May-20
122.1221,11-May-20
122.1221,11-May-20
