Net Asset Value,NAV date
27.651,28-Feb-14
27.39,03-Mar-14
27.707,04-Mar-14
27.987,05-Mar-14
28.347,06-Mar-14
28.807,07-Mar-14
28.888,10-Mar-14
28.747,11-Mar-14
28.62,12-Mar-14
28.581,13-Mar-14
28.737,14-Mar-14
28.956,18-Mar-14
29.023,19-Mar-14
28.83,20-Mar-14
29.072,21-Mar-14
29.429,24-Mar-14
29.577,25-Mar-14
29.663,26-Mar-14
29.921,27-Mar-14
30.358,28-Mar-14
30.547,31-Mar-14
30.518,01-Apr-14
30.838,02-Apr-14
30.6,03-Apr-14
30.551,04-Apr-14
30.535,07-Apr-14
31.15,09-Apr-14
31.414,10-Apr-14
31.427,11-Apr-14
31.245,15-Apr-14
31.032,16-Apr-14
31.634,17-Apr-14
31.941,21-Apr-14
31.876,22-Apr-14
31.917,23-Apr-14
31.737,25-Apr-14
31.732,28-Apr-14
31.483,29-Apr-14
31.136,30-Apr-14
31.221,02-May-14
31.234,05-May-14
31.304,06-May-14
31.231,07-May-14
31.318,08-May-14
32.171,09-May-14
32.801,12-May-14
33.239,13-May-14
33.568,14-May-14
33.463,15-May-14
34.293,16-May-14
35.622,19-May-14
35.71,20-May-14
35.743,21-May-14
36.27,22-May-14
37.075,23-May-14
36.824,26-May-14
36.315,27-May-14
36.426,28-May-14
35.972,29-May-14
35.9,30-May-14
36.906,02-Jun-14
37.269,03-Jun-14
37.546,04-Jun-14
38.106,05-Jun-14
38.786,06-Jun-14
39.249,09-Jun-14
39.076,10-Jun-14
38.981,11-Jun-14
39.144,12-Jun-14
38.121,13-Jun-14
38.138,16-Jun-14
38.725,17-Jun-14
38.461,18-Jun-14
38.313,19-Jun-14
38.046,20-Jun-14
38.059,23-Jun-14
38.817,24-Jun-14
38.902,25-Jun-14
38.658,26-Jun-14
38.845,27-Jun-14
39.528,30-Jun-14
39.832,01-Jul-14
40.236,02-Jul-14
40.277,03-Jul-14
40.315,04-Jul-14
40.496,07-Jul-14
39.025,08-Jul-14
38.631,09-Jul-14
38.704,10-Jul-14
37.566,11-Jul-14
