Net Asset Value,NAV date
22.982,29-Aug-17
23.119,30-Aug-17
23.217,31-Aug-17
23.368,01-Sep-17
23.31,04-Sep-17
23.394,05-Sep-17
23.327,06-Sep-17
23.346,07-Sep-17
23.317,08-Sep-17
23.424,11-Sep-17
23.557,12-Sep-17
23.461,13-Sep-17
23.529,14-Sep-17
23.497,15-Sep-17
23.609,18-Sep-17
23.661,19-Sep-17
23.616,20-Sep-17
23.511,21-Sep-17
23.192,22-Sep-17
23.008,25-Sep-17
23.031,26-Sep-17
22.844,27-Sep-17
22.889,28-Sep-17
23.052,29-Sep-17
23.137,03-Oct-17
23.182,04-Oct-17
23.205,05-Oct-17
23.337,06-Oct-17
23.344,09-Oct-17
23.413,10-Oct-17
23.311,11-Oct-17
23.45,12-Oct-17
23.463,13-Oct-17
23.555,16-Oct-17
23.552,17-Oct-17
23.49,18-Oct-17
23.431,23-Oct-17
23.475,24-Oct-17
23.699,25-Oct-17
23.758,26-Oct-17
23.782,27-Oct-17
23.903,30-Oct-17
23.909,31-Oct-17
24.036,01-Nov-17
24.027,02-Nov-17
24.128,03-Nov-17
24.165,06-Nov-17
23.978,07-Nov-17
23.9,08-Nov-17
23.959,09-Nov-17
24.005,10-Nov-17
23.883,13-Nov-17
23.813,14-Nov-17
23.717,15-Nov-17
23.849,16-Nov-17
24.015,17-Nov-17
24.094,20-Nov-17
24.193,21-Nov-17
24.214,22-Nov-17
24.208,23-Nov-17
24.261,24-Nov-17
24.31,27-Nov-17
24.346,28-Nov-17
24.361,29-Nov-17
24.276,30-Nov-17
24.124,01-Dec-17
24.073,04-Dec-17
24.095,05-Dec-17
23.988,06-Dec-17
24.218,07-Dec-17
24.379,08-Dec-17
24.416,11-Dec-17
24.31,12-Dec-17
24.222,13-Dec-17
24.301,14-Dec-17
24.476,15-Dec-17
24.589,18-Dec-17
24.763,19-Dec-17
24.799,20-Dec-17
24.804,21-Dec-17
24.88,22-Dec-17
24.952,26-Dec-17
24.921,27-Dec-17
24.894,28-Dec-17
24.971,29-Dec-17
24.88,01-Jan-18
24.804,02-Jan-18
24.846,03-Jan-18
24.959,04-Jan-18
25.127,05-Jan-18
25.254,08-Jan-18
25.245,09-Jan-18
25.169,10-Jan-18
25.188,11-Jan-18
25.221,12-Jan-18
25.242,15-Jan-18
25.068,16-Jan-18
25.228,17-Jan-18
25.193,18-Jan-18
25.28,19-Jan-18
25.361,22-Jan-18
25.511,23-Jan-18
25.475,24-Jan-18
25.346,25-Jan-18
25.256,29-Jan-18
25.09,30-Jan-18
25.03,31-Jan-18
25.092,01-Feb-18
24.629,02-Feb-18
24.483,05-Feb-18
24.318,06-Feb-18
24.368,07-Feb-18
24.588,08-Feb-18
24.432,09-Feb-18
24.542,12-Feb-18
24.496,14-Feb-18
24.437,15-Feb-18
24.248,16-Feb-18
24.112,19-Feb-18
24.049,20-Feb-18
24.068,21-Feb-18
24.011,22-Feb-18
24.213,23-Feb-18
24.382,26-Feb-18
24.329,27-Feb-18
24.26,28-Feb-18
24.21,01-Mar-18
24.07,05-Mar-18
23.935,06-Mar-18
23.783,07-Mar-18
23.883,08-Mar-18
23.851,09-Mar-18
24.052,12-Mar-18
24.152,13-Mar-18
24.126,14-Mar-18
24.105,15-Mar-18
23.907,16-Mar-18
23.751,19-Mar-18
23.786,20-Mar-18
23.776,21-Mar-18
23.687,22-Mar-18
23.526,23-Mar-18
23.722,26-Mar-18
23.96,27-Mar-18
23.805,28-Mar-18
23.976,02-Apr-18
24.145,03-Apr-18
23.99,04-Apr-18
24.322,05-Apr-18
24.367,06-Apr-18
24.394,09-Apr-18
24.408,10-Apr-18
24.377,11-Apr-18
24.368,12-Apr-18
24.379,13-Apr-18
24.391,16-Apr-18
24.393,17-Apr-18
24.341,18-Apr-18
24.397,19-Apr-18
24.302,20-Apr-18
24.375,23-Apr-18
24.423,24-Apr-18
24.34,25-Apr-18
24.379,26-Apr-18
24.528,27-Apr-18
24.612,30-Apr-18
24.47,02-May-18
24.378,03-May-18
24.311,04-May-18
24.435,07-May-18
24.46,08-May-18
24.402,09-May-18
24.3,10-May-18
24.42,11-May-18
24.428,14-May-18
24.347,15-May-18
24.291,16-May-18
24.222,17-May-18
24.089,18-May-18
23.906,21-May-18
23.992,22-May-18
23.897,23-May-18
23.918,24-May-18
24.105,25-May-18
24.3,28-May-18
24.203,29-May-18
24.182,30-May-18
24.201,31-May-18
24.058,01-Jun-18
23.934,04-Jun-18
23.79,05-Jun-18
23.943,06-Jun-18
24.084,07-Jun-18
24.066,08-Jun-18
24.134,11-Jun-18
24.188,12-Jun-18
24.217,13-Jun-18
24.166,14-Jun-18
24.122,15-Jun-18
24.08,18-Jun-18
23.895,19-Jun-18
23.915,20-Jun-18
23.861,21-Jun-18
23.945,22-Jun-18
23.791,25-Jun-18
23.795,26-Jun-18
23.606,27-Jun-18
23.415,28-Jun-18
23.657,29-Jun-18
23.617,02-Jul-18
23.711,03-Jul-18
23.78,04-Jul-18
23.731,05-Jul-18
23.801,06-Jul-18
23.948,09-Jul-18
24.059,10-Jul-18
24.005,11-Jul-18
24.054,12-Jul-18
23.978,13-Jul-18
23.701,16-Jul-18
23.857,17-Jul-18
23.86,18-Jul-18
23.777,19-Jul-18
23.899,20-Jul-18
24.005,23-Jul-18
24.186,24-Jul-18
24.159,25-Jul-18
24.225,26-Jul-18
24.405,27-Jul-18
24.44,30-Jul-18
24.517,31-Jul-18
24.498,01-Aug-18
24.405,02-Aug-18
24.578,03-Aug-18
24.636,06-Aug-18
24.541,07-Aug-18
24.562,08-Aug-18
24.632,09-Aug-18
24.539,10-Aug-18
24.324,13-Aug-18
24.428,14-Aug-18
24.384,16-Aug-18
24.543,17-Aug-18
24.598,20-Aug-18
24.651,21-Aug-18
24.622,23-Aug-18
24.599,24-Aug-18
24.829,27-Aug-18
24.905,28-Aug-18
24.932,29-Aug-18
24.902,30-Aug-18
24.923,31-Aug-18
24.831,03-Sep-18
24.585,04-Sep-18
24.473,05-Sep-18
24.542,06-Sep-18
24.674,07-Sep-18
24.414,10-Sep-18
24.208,11-Sep-18
24.227,12-Sep-18
24.467,14-Sep-18
24.297,17-Sep-18
24.095,18-Sep-18
23.964,19-Sep-18
23.76,21-Sep-18
23.37,24-Sep-18
23.438,25-Sep-18
23.458,26-Sep-18
23.299,27-Sep-18
23.164,28-Sep-18
23.099,01-Oct-18
22.903,03-Oct-18
22.572,04-Oct-18
22.209,05-Oct-18
22.102,08-Oct-18
22.024,09-Oct-18
22.36,10-Oct-18
22.042,11-Oct-18
22.395,12-Oct-18
22.499,15-Oct-18
22.7,16-Oct-18
22.443,17-Oct-18
22.181,19-Oct-18
