Net Asset Value,NAV date
33.058,16-Apr-18
33.105,17-Apr-18
33.016,18-Apr-18
33.082,19-Apr-18
32.925,20-Apr-18
33.002,23-Apr-18
33.187,24-Apr-18
32.982,25-Apr-18
32.992,26-Apr-18
33.246,27-Apr-18
33.302,30-Apr-18
33.091,02-May-18
32.905,03-May-18
32.812,04-May-18
33.099,07-May-18
33.176,08-May-18
33.111,09-May-18
32.949,10-May-18
33.261,11-May-18
33.27,14-May-18
33.13,15-May-18
32.948,16-May-18
32.916,17-May-18
32.604,18-May-18
32.244,21-May-18
32.321,22-May-18
32.112,23-May-18
32.267,24-May-18
32.616,25-May-18
32.948,28-May-18
32.843,29-May-18
32.812,30-May-18
33.053,31-May-18
32.828,01-Jun-18
32.594,04-Jun-18
32.493,05-Jun-18
32.781,06-Jun-18
33.088,07-Jun-18
33.116,08-Jun-18
33.179,11-Jun-18
33.419,12-Jun-18
33.409,13-Jun-18
33.288,14-Jun-18
33.196,15-Jun-18
33.107,18-Jun-18
32.862,19-Jun-18
32.986,20-Jun-18
32.879,21-Jun-18
33.131,22-Jun-18
33.005,25-Jun-18
33.054,26-Jun-18
32.653,27-Jun-18
32.346,28-Jun-18
32.78,29-Jun-18
32.629,02-Jul-18
32.786,03-Jul-18
33.018,04-Jul-18
32.938,05-Jul-18
33.083,06-Jul-18
33.319,09-Jul-18
33.576,10-Jul-18
33.473,11-Jul-18
33.679,12-Jul-18
33.584,13-Jul-18
33.214,16-Jul-18
33.516,17-Jul-18
33.381,18-Jul-18
33.29,19-Jul-18
33.611,20-Jul-18
33.837,23-Jul-18
34.145,24-Jul-18
34.159,25-Jul-18
34.328,26-Jul-18
34.604,27-Jul-18
34.658,30-Jul-18
34.809,31-Jul-18
34.788,01-Aug-18
34.622,02-Aug-18
34.815,03-Aug-18
34.884,06-Aug-18
34.785,07-Aug-18
34.912,08-Aug-18
35.024,09-Aug-18
34.876,10-Aug-18
34.627,13-Aug-18
34.815,14-Aug-18
34.724,16-Aug-18
34.942,17-Aug-18
35.245,20-Aug-18
35.342,21-Aug-18
35.364,23-Aug-18
35.282,24-Aug-18
35.671,27-Aug-18
35.726,28-Aug-18
35.72,29-Aug-18
35.659,30-Aug-18
35.666,31-Aug-18
35.369,03-Sep-18
34.952,04-Sep-18
34.714,05-Sep-18
34.829,06-Sep-18
35.143,07-Sep-18
34.724,10-Sep-18
34.297,11-Sep-18
34.416,12-Sep-18
34.817,14-Sep-18
34.38,17-Sep-18
34.013,18-Sep-18
33.842,19-Sep-18
33.656,21-Sep-18
32.958,24-Sep-18
33.159,25-Sep-18
33.288,26-Sep-18
33.002,27-Sep-18
32.72,28-Sep-18
32.828,01-Oct-18
32.356,03-Oct-18
